"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"18.09.2025","2.793,58","2.814,63","2.816,84","2.776,12","64,53B","-0,73%"
"17.09.2025","2.814,04","2.793,24","2.823,75","2.784,37","50,23B","0,40%"
"16.09.2025","2.802,77","2.822,85","2.831,80","2.778,51","60,69B","-0,25%"
"15.09.2025","2.809,85","2.826,86","2.834,60","2.801,03","52,31B","-1,05%"
"12.09.2025","2.839,73","2.904,03","2.905,68","2.837,01","87,12B","-2,35%"
"11.09.2025","2.908,14","2.916,27","2.916,35","2.890,68","68,05B","-0,21%"
"10.09.2025","2.914,26","2.919,56","2.938,36","2.912,50","41,62B","-0,74%"
"09.09.2025","2.935,96","2.926,02","2.939,20","2.919,84","47,32B","0,49%"
"08.09.2025","2.921,62","2.914,28","2.921,62","2.906,62","36,85B","0,70%"
"05.09.2025","2.901,45","2.891,09","2.906,70","2.885,92","33,60B","0,97%"
"04.09.2025","2.873,70","2.883,86","2.894,49","2.864,62","39,16B","0,21%"
"03.09.2025","2.867,55","2.863,12","2.875,01","2.846,87","32,61B","0,78%"
"02.09.2025","2.845,39","2.878,37","2.883,35","2.842,80","50,26B","-1,44%"
"01.09.2025","2.886,97","2.923,49","2.925,02","2.886,97","31,77B","-0,43%"
"29.08.2025","2.899,38","2.893,99","2.904,14","2.882,55","66,33B","-0,46%"
"28.08.2025","2.912,72","2.918,92","2.919,01","2.900,33","35,06B","0,04%"
"27.08.2025","2.911,48","2.892,32","2.916,92","2.888,10","45,52B","0,89%"
"26.08.2025","2.885,87","2.906,96","2.915,46","2.878,74","32,55B","-0,05%"
"25.08.2025","2.887,24","2.886,35","2.890,83","2.857,97","42,41B","-0,33%"
"22.08.2025","2.896,76","2.882,95","2.903,48","2.876,26","46,75B","0,46%"
"21.08.2025","2.883,50","2.933,10","2.935,48","2.879,36","71,00B","-1,95%"
"20.08.2025","2.940,78","2.974,56","2.977,26","2.928,85","47,98B","-0,84%"
"19.08.2025","2.965,66","3.000,75","3.006,13","2.962,37","57,80B","0,49%"
"18.08.2025","2.951,26","2.949,46","2.972,97","2.941,70","54,13B","-2,02%"
"15.08.2025","3.012,09","2.987,67","3.014,21","2.978,69","63,54B","1,17%"
"14.08.2025","2.977,34","2.945,01","2.985,27","2.933,82","70,97B","0,15%"
"13.08.2025","2.973,02","2.987,60","2.988,06","2.959,75","61,38B","-0,14%"
"12.08.2025","2.977,18","2.959,97","2.980,01","2.952,34","58,66B","0,44%"
"11.08.2025","2.964,15","2.991,68","2.996,40","2.956,94","83,50B","1,35%"
"08.08.2025","2.924,63","2.894,58","2.926,98","2.872,12","72,58B","1,68%"
"07.08.2025","2.876,43","2.836,05","2.915,43","2.824,78","140,74B","4,04%"
"06.08.2025","2.764,62","2.791,29","2.798,21","2.754,51","51,26B","-0,78%"
"05.08.2025","2.786,37","2.784,71","2.792,51","2.764,77","47,50B","0,45%"
"04.08.2025","2.773,85","2.733,23","2.776,99","2.727,86","44,02B","1,68%"
"01.08.2025","2.727,98","2.749,41","2.755,95","2.724,54","35,70B","-0,15%"
"31.07.2025","2.732,12","2.737,13","2.741,14","2.713,68","56,40B","0,22%"
"30.07.2025","2.726,24","2.751,92","2.754,35","2.718,65","38,49B","-1,16%"
"29.07.2025","2.758,28","2.739,49","2.764,03","2.728,97","55,42B","1,00%"
"28.07.2025","2.730,98","2.760,90","2.783,82","2.726,61","85,90B","-1,49%"
"25.07.2025","2.772,39","2.819,07","2.827,03","2.767,44","84,09B","-1,26%"
"24.07.2025","2.807,69","2.837,72","2.838,22","2.806,64","41,14B","-1,18%"
"23.07.2025","2.841,16","2.839,41","2.849,80","2.829,25","53,23B","0,55%"
"22.07.2025","2.825,61","2.811,64","2.833,84","2.801,11","49,40B","0,14%"
"21.07.2025","2.821,78","2.816,11","2.827,94","2.804,14","57,11B","1,33%"
"18.07.2025","2.784,63","2.758,28","2.789,39","2.715,11","100,40B","0,84%"
"17.07.2025","2.761,48","2.787,80","2.788,30","2.754,86","71,69B","-0,56%"
"16.07.2025","2.777,16","2.758,65","2.784,82","2.747,82","62,78B","0,73%"
"15.07.2025","2.756,95","2.750,37","2.761,82","2.734,80","64,55B","1,58%"
"14.07.2025","2.714,14","2.616,31","2.722,53","2.616,03","81,25B","2,73%"
"11.07.2025","2.642,02","2.705,46","2.707,82","2.638,08","81,02B","-3,31%"
